"filename", "language", "JSON", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\koopa\Downloads\front\TrabajoTerminal\package-lock.json", "JSON", 17841, 0, 0, 0, 0, 1, 17842
"c:\Users\koopa\Downloads\front\TrabajoTerminal\package.json", "JSON", 54, 0, 0, 0, 0, 1, 55
"c:\Users\koopa\Downloads\front\TrabajoTerminal\public\index.html", "HTML", 0, 20, 0, 0, 23, 1, 44
"c:\Users\koopa\Downloads\front\TrabajoTerminal\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 1, 26
"c:\Users\koopa\Downloads\front\TrabajoTerminal\server copy.js", "JavaScript", 0, 0, 32, 0, 5, 7, 44
"c:\Users\koopa\Downloads\front\TrabajoTerminal\server.js", "JavaScript", 0, 0, 135, 0, 2, 34, 171
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\App.css", "CSS", 0, 0, 0, 13, 1, 5, 19
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\App.js", "JavaScript", 0, 0, 42, 0, 0, 10, 52
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\CodeEditor.css", "CSS", 0, 0, 0, 3, 0, 1, 4
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\CodeEditor.js", "JavaScript", 0, 0, 32, 0, 0, 5, 37
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\DropdownButton.js", "JavaScript", 0, 0, 19, 0, 0, 7, 26
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\GoTutorial.js", "JavaScript", 0, 0, 25, 0, 0, 5, 30
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\Modal.css", "CSS", 0, 0, 0, 27, 0, 7, 34
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\Modal.js", "JavaScript", 0, 0, 23, 0, 0, 5, 28
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\MyQuizComponent.js", "JavaScript", 0, 0, 29, 0, 1, 8, 38
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\OutputPanel.css", "CSS", 0, 0, 0, 15, 0, 6, 21
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\OutputPanel.js", "JavaScript", 0, 0, 11, 0, 0, 3, 14
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\Quiz.css", "CSS", 0, 0, 0, 41, 5, 14, 60
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\Quiz.js", "JavaScript", 0, 0, 169, 0, 1, 59, 229
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\components\TopicsDropdownButton.js", "JavaScript", 0, 0, 19, 0, 0, 7, 26
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\controllers\CodeEditorController.js", "JavaScript", 0, 0, 15, 0, 4, 5, 24
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\controllers\CodeExecutionController.js", "JavaScript", 0, 0, 3, 0, 1, 9, 13
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\controllers\LectureController.js", "JavaScript", 0, 0, 16, 0, 1, 2, 19
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\controllers\QuizController.js", "JavaScript", 0, 0, 28, 0, 1, 7, 36
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\controllers\QuizzesController.js", "JavaScript", 0, 0, 11, 0, 0, 2, 13
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\controllers\TopicsController.js", "JavaScript", 0, 0, 11, 0, 0, 3, 14
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\controllers\useLecture.js", "JavaScript", 0, 0, 20, 0, 1, 5, 26
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\index.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\index.js", "JavaScript", 0, 0, 10, 0, 0, 2, 12
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\models\LectureModel.js", "JavaScript", 0, 0, 14, 0, 1, 12, 27
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\models\QuizModel.js", "JavaScript", 0, 0, 60, 0, 1, 11, 72
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\routes\QuizRoutes.js", "JavaScript", 0, 0, 7, 0, 2, 5, 14
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\styles\GoTutorial.css", "CSS", 0, 0, 0, 10, 0, 2, 12
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\styles\Toolbar.css", "CSS", 0, 0, 0, 48, 0, 12, 60
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\views\CodeEditorView.js", "JavaScript", 0, 0, 18, 0, 2, 2, 22
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\views\LectureView.js", "JavaScript", 0, 0, 14, 0, 2, 5, 21
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\views\QuizView.js", "JavaScript", 0, 0, 169, 0, 1, 59, 229
"c:\Users\koopa\Downloads\front\TrabajoTerminal\src\views\ToolbarView.js", "JavaScript", 0, 0, 78, 0, 2, 24, 104
"Total", "-", 17920, 20, 1010, 157, 57, 355, 19519
